Package,Released image installed version,Built Trixie installed version,Change,Review group,Review reference,Evidence/disposition
dbus-system-bus-common,,1.16.2-2,added,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
debconf,1.5.77,1.5.91,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
debian-archive-keyring,2021.1.1+deb11u1,2025.1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
debianutils,4.11.2,5.23.2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
diffutils,1:3.7-5,1:3.10-4,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
distro-info-data,0.51+deb11u11,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
dns-root-data,2024071801~deb11u1,2025080400~deb13u1,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
dnsutils,1:9.16.50-1~deb11u5,,removed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
dpkg,1.20.13,1.22.22,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
e2fsprogs,1.46.2-2+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
findutils,4.8.0-1,4.10.0-3,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
gcc-10-base:amd64,10.2.1-6,,removed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
gcc-14-base:amd64,,14.2.0-19,added,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
gcc-9-base:amd64,9.3.0-22,,removed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
gpgv,2.2.27-2+deb11u2,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
grep,3.6-1+deb11u1,3.11-4,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
gzip,1.10-4+deb11u1,1.13-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
hostname,3.23,3.25,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
init-system-helpers,1.60,1.69~deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
iperf3,3.9-1+deb11u3,3.18-2+deb13u2,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
iproute2,5.10.0-4,6.15.0-1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
ipset,7.10-1,7.22-1+b1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
iptables,1.8.7-1,1.8.11-2,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
iputils-ping,3:20210202-1,3:20240905-3,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
jq,1.6-2.1,1.7.1-6+deb13u3,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
libacl1:amd64,2.2.53-10,2.3.2-2+b1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libapparmor1:amd64,2.13.6-10,4.1.0-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libapt-pkg6.0:amd64,2.2.4,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libapt-pkg7.0:amd64,,3.0.3,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libattr1:amd64,1:2.4.48-6,1:2.5.2-3,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libaudit-common,1:3.0-2,1:4.0.2-2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libaudit1:amd64,1:3.0-2,1:4.0.2-2+b2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libavahi-client3:amd64,0.8-5+deb11u3,0.8-16,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libavahi-common-data:amd64,0.8-5+deb11u3,0.8-16,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libavahi-common3:amd64,0.8-5+deb11u3,0.8-16,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libavahi-core7:amd64,0.8-5+deb11u3,0.8-16,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libblkid1:amd64,2.36.1-8+deb11u2,2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libbpf0:amd64,1:0.3-2+deb11u1,,removed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libbpf1:amd64,,1:1.5.0-3,added,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libbrotli1:amd64,1.0.9-2+b2,1.1.0-2+b7,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libbsd0:amd64,0.11.3-1+deb11u1,0.12.2-2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libbz2-1.0:amd64,1.0.8-4,1.0.8-6,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libc-ares2:amd64,1.17.1-1+deb11u3,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libc-bin,2.31-13+deb11u13,2.41-12+deb13u4,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libc-dev-bin,2.31-13+deb11u13,2.41-12+deb13u4,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libc6-dev:amd64,2.31-13+deb11u13,2.41-12+deb13u4,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libc6:amd64,2.31-13+deb11u13,2.41-12+deb13u4,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libcap-ng0:amd64,0.7.9-2.2+b1,0.8.5-4+b1,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libcap2-bin,1:2.44-1+deb11u1,1:2.75-10+deb13u1+b3,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libcap2:amd64,1:2.44-1+deb11u1,1:2.75-10+deb13u1+b3,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libcares2:amd64,,1.34.5-1+deb13u1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libcom-err2:amd64,1.46.2-2+deb11u1,1.47.2-3+b11,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libcrypt-dev:amd64,1:4.4.18-4,1:4.4.38-1,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libcrypt1:amd64,1:4.4.18-4,1:4.4.38-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libcurl4:amd64,7.74.0-1.3+deb11u15,,removed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
libcurl4t64:amd64,,8.14.1-2+deb13u4,added,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
libdaemon0:amd64,0.14-7.1,0.14-7.1+b3,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libdb5.3:amd64,5.3.28+dfsg1-0.8,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libdb5.3t64:amd64,,5.3.28+dfsg2-9,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libdbus-1-3:amd64,1.12.28-0+deb11u1,1.16.2-2,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libdebconfclient0:amd64,0.260,0.280,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libedit2:amd64,3.1-20191231-2+b1,3.1-20250104-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libelf1:amd64,0.183-1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libelf1t64:amd64,,0.192-4,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libestr0:amd64,0.1.10-2.1+b1,0.1.11-2,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libexpat1:amd64,2.2.10-2+deb11u7,2.8.3-1~deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libext2fs2:amd64,1.46.2-2+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libfastjson4:amd64,0.99.9-1+deb11u1,1.2304.0-2,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
libffi7:amd64,3.3-6,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libffi8:amd64,,3.4.8-2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libfstrm0:amd64,0.6.0-1+b1,0.6.1-1+b3,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libgcc-s1:amd64,10.2.1-6,14.2.0-19,changed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libgcrypt20:amd64,1.8.7-6,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libgdbm6:amd64,1.19-2,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libgdbm6t64:amd64,,1.24-2,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libgmp10:amd64,2:6.2.1+dfsg-1+deb11u1,2:6.3.0+dfsg-3,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libgnutls30:amd64,3.7.1-5+deb11u7,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libgnutls30t64:amd64,,3.8.9-3+deb13u4,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libgpg-error0:amd64,1.38-2,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libgssapi-krb5-2:amd64,1.18.3-6+deb11u7,1.21.3-5+deb13u1,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libhogweed6:amd64,3.7.3-1,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libhogweed6t64:amd64,,3.10.1-1,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libicu67:amd64,67.1-7+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libicu76:amd64,,76.1-4,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libidn2-0:amd64,2.3.0-5,2.3.8-2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libip4tc2:amd64,1.8.7-1,1.8.11-2,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libip6tc2:amd64,1.8.7-1,1.8.11-2,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libiperf0:amd64,3.9-1+deb11u3,3.18-2+deb13u2,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libipset13:amd64,7.10-1,,removed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libipset13t64:amd64,,7.22-1+b1,added,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libjemalloc2:amd64,,5.3.0-3,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libjq1:amd64,1.6-2.1,1.7.1-6+deb13u3,changed,shell-and-control-utilities,runtime.md,Existing shell/lifecycle tests; actual Bashio API error-path checks remain
libjs-jquery,3.5.1+dfsg+~3.5.5-7,3.6.1+dfsg+~3.5.14-1,changed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libjson-c5:amd64,0.15-2+deb11u1,0.18+ds-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libjsoncpp-dev:amd64,1.9.4-4,1.9.6-3,changed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libjsoncpp24:amd64,1.9.4-4,,removed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libjsoncpp26:amd64,,1.9.6-3,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libk5crypto3:amd64,1.18.3-6+deb11u7,1.21.3-5+deb13u1,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libkeyutils1:amd64,1.6.1-2,1.6.3-6,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libkrb5-3:amd64,1.18.3-6+deb11u7,1.21.3-5+deb13u1,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libkrb5support0:amd64,1.18.3-6+deb11u7,1.21.3-5+deb13u1,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
liblastlog2-2:amd64,,2.41-5,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libldap-2.4-2:amd64,2.4.57+dfsg-3+deb11u1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libldap2:amd64,,2.6.10+dfsg-1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
liblmdb0:amd64,0.9.24-1,0.9.31-1+b2,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
liblognorm5:amd64,2.0.5-1.1,2.0.6-5,changed,discovery-reference-and-daemons,baseline.md,Installed does not mean enabled; no unproven package removal
liblz4-1:amd64,1.9.3-2,1.10.0-4,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
liblzma5:amd64,5.2.5-2.1~deb11u1,5.8.1-1+deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libmaxminddb0:amd64,1.5.2-1,1.12.2-1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libmbedcrypto16:amd64,,3.6.6-0.1~deb13u1,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libmbedcrypto3:amd64,2.16.9-0.1+deb11u3,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libmbedtls12:amd64,2.16.9-0.1+deb11u3,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libmbedtls21:amd64,,3.6.6-0.1~deb13u1,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libmbedx509-0:amd64,2.16.9-0.1+deb11u3,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libmbedx509-7:amd64,,3.6.6-0.1~deb13u1,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libmd0:amd64,1.0.3-3,1.1.0-2+b1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libmnl0:amd64,1.0.4-3,1.0.5-3,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libmount1:amd64,2.36.1-8+deb11u2,2.41-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libmpdec3:amd64,2.5.1-1,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libncursesw6:amd64,6.2+20201114-2+deb11u2,6.5+20250216-2,changed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libnetfilter-conntrack3:amd64,1.0.8-3,1.1.0-1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libnetfilter-queue1:amd64,1.0.5-2,1.0.5-4+b1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libnettle8:amd64,3.7.3-1,,removed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libnettle8t64:amd64,,3.10.1-1,added,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libnfnetlink0:amd64,1.0.1-3+b1,1.0.2-3,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libnftnl11:amd64,1.1.9-1,1.2.9-1,changed,networking,runtime.md,Isolated actual-tool tests; host kernel and physical acceptance remain
libnghttp2-14:amd64,1.43.0-1+deb11u2,1.64.0-1.1+deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libnghttp3-9:amd64,,1.8.0-1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libnode115:amd64,,20.19.2+dfsg-1+deb13u2,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libnode72:amd64,12.22.12~dfsg-1~deb11u7,,removed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libnsl-dev:amd64,1.3.0-2,,removed,native-build-and-ABI,compiler-python.md; runtime.md,Full AMD64 build/linkage; ARM ABI acceptance remains
libnsl2:amd64,1.3.0-2,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libonig5:amd64,6.9.6-1.1,6.9.9-1+b1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libp11-kit0:amd64,0.23.22-1,0.25.5-3,changed,crypto-and-TLS-support,plan-and-results.md,Distinguish tool TLS from bundled radio crypto; no blanket legacy-provider changes
libpam-modules-bin,1.4.0-9+deb11u1,1.7.0-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpam-modules:amd64,1.4.0-9+deb11u1,1.7.0-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpam-runtime,1.4.0-9+deb11u1,1.7.0-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpam0g:amd64,1.4.0-9+deb11u1,1.7.0-5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpcre2-8-0:amd64,10.36-2+deb11u1,10.46-1~deb13u1,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpcre3:amd64,2:8.39-13,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libprotobuf-c1:amd64,1.3.3-1+b2,1.5.1-1,changed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotobuf-dev:amd64,3.12.4-1+deb11u1,3.21.12-11+deb13u1,changed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotobuf-lite23:amd64,3.12.4-1+deb11u1,,removed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotobuf-lite32t64:amd64,,3.21.12-11+deb13u1,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotobuf23:amd64,3.12.4-1+deb11u1,,removed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotobuf32t64:amd64,,3.21.12-11+deb13u1,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotoc23:amd64,3.12.4-1+deb11u1,,removed,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libprotoc32t64:amd64,,3.21.12-11+deb13u1,added,web-build-and-serialization,web-build.md,Full build/linkage; browser behavior and precise advisory exposure remain
libpsl5:amd64,0.21.0-1.2,,removed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpsl5t64:amd64,,0.21.2-1.1+b1,added,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libpython3-stdlib:amd64,3.9.2-3,3.13.5-1,changed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
libpython3.13-minimal:amd64,,3.13.5-2+deb13u5,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
libpython3.13-stdlib:amd64,,3.13.5-2+deb13u5,added,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
libpython3.9-minimal:amd64,3.9.2-1+deb11u6,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
libpython3.9-stdlib:amd64,3.9.2-1+deb11u6,,removed,python-and-packaged-extensions,compiler-python.md,Direct helper API review; installed extension presence does not establish active use
libreadline8:amd64,8.1-1,,removed,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
libreadline8t64:amd64,,8.2-6,added,application-runtime-support,runtime.md,Linkage and service/CLI acceptance; libsystemd newly linked
librtmp1:amd64,2.4+20151223.gitfa8646d.1-2+b2,2.4+20151223.gitfa8646d.1-2+b5,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsasl2-2:amd64,2.1.27+dfsg-2.1+deb11u1,2.1.28+dfsg1-9,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
libsasl2-modules-db:amd64,2.1.27+dfsg-2.1+deb11u1,2.1.28+dfsg1-9,changed,base-or-transitive-support,plan-and-results.md,"Inventoried; no direct changed application interface identified; covered through consumers, not individually certified"
